epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,72.5993,0.54608,0.75385,1,0.43612,0.00053344,0.00053344,0.00053344
2,141.875,0.4441,0.81538,1,0.42069,0.00106567,0.00106567,0.00106567
3,244.448,0.36329,0.83077,1,0.349,0.00157975,0.00157975,0.00157975
4,314.607,0.32396,0.75385,1,0.44473,0.00158448,0.00158448,0.00158448
5,372.707,0.29721,0.81538,1,0.45866,0.00155698,0.00155698,0.00155698
6,432.904,0.26474,0.84615,1,0.54311,0.00152947,0.00152947,0.00152947
7,494.429,0.22587,0.76923,1,0.53294,0.00150197,0.00150197,0.00150197
8,555.416,0.22503,0.72308,1,1.68,0.00147446,0.00147446,0.00147446
9,617.036,0.23589,0.76923,1,0.80309,0.00144696,0.00144696,0.00144696
10,692.248,0.2408,0.72308,1,0.53268,0.00141945,0.00141945,0.00141945
